Positive Similarity	Negative Similarity
2.245781183242798	20.555335998535156
54.90087127685547	9.157378196716309
473.5646667480469	25.10498809814453
1914.6029052734375	48.0451545715332
4447.80615234375	57.020565032958984
7189.53369140625	58.94761657714844
9920.0185546875	41.04209518432617
11127.4560546875	43.5734977722168
11703.2236328125	41.01359558105469
11456.3720703125	35.126731872558594
11157.97265625	27.600034713745117
10799.1181640625	24.777437210083008
10629.9189453125	15.48758316040039
9939.296875	17.581270217895508
9732.2685546875	16.2811336517334
9422.013671875	15.875716209411621
9681.9716796875	15.328125
9837.1591796875	6.763713359832764
10231.2802734375	14.010686874389648
10635.66015625	17.251567840576172
11121.921875	17.212371826171875
11655.54296875	17.580848693847656
12436.67578125	18.690277099609375
13293.0302734375	18.18764305114746
14529.9765625	21.19400405883789
15394.240234375	23.121946334838867
16273.6591796875	24.540834426879883
16964.80859375	24.32984733581543
17658.32421875	26.383371353149414
18409.494140625	20.807279586791992
19001.427734375	26.126636505126953
19793.7421875	25.854637145996094
20210.43359375	25.01534080505371
20809.18359375	24.563941955566406
21934.193359375	11.841939926147461
23004.51171875	22.983720779418945
23890.544921875	27.55229377746582
26017.34375	27.43334197998047
28535.0390625	28.603015899658203
31760.5546875	31.039060592651367
37069.1171875	33.105125427246094
42720.73046875	40.061885833740234
47492.0	43.55733871459961
53172.1484375	46.04924011230469
60447.05859375	51.49303436279297
71647.8515625	61.26642608642578
91154.0625	67.88277435302734
107882.8984375	87.31472778320312
121719.8828125	94.46047973632812
128411.4140625	95.03569030761719
134891.796875	102.30528259277344
150130.875	65.87181091308594
155319.703125	116.73577880859375
170099.078125	124.5949935913086
183085.625	130.23097229003906
206468.515625	137.6392059326172
232605.09375	158.22103881835938
254759.375	137.5404052734375
267894.625	181.2125244140625
262303.0625	163.14776611328125
265435.40625	159.37686157226562
294086.6875	173.93490600585938
332363.28125	198.07518005371094
375049.90625	245.5061798095703
371710.03125	219.8333740234375
340964.4375	195.4263458251953
318986.59375	172.90650939941406
331763.03125	184.14207458496094
373194.28125	156.0383758544922
414993.71875	245.402099609375
454181.46875	249.70944213867188
461944.46875	255.85838317871094
463070.96875	257.6000671386719
471440.875	262.7831115722656
497759.15625	232.8429718017578
544597.0625	285.2832336425781
544212.4375	276.14617919921875
538267.8125	284.966064453125
545008.0625	280.5938415527344
553871.5625	136.1345672607422
572739.0	323.14111328125
587352.75	293.12884521484375
606788.375	308.3153076171875
601466.25	322.8118896484375
636276.25	323.0270080566406
641122.75	268.491943359375
662963.6875	340.46954345703125
686005.6875	339.62152099609375
726596.625	354.6297912597656
749120.375	371.2595520019531
776212.4375	376.0920715332031
779280.1875	318.4884948730469
774694.875	344.4535827636719
790282.625	329.6063537597656
834824.3125	354.4407043457031
840443.5625	364.45318603515625
884579.0	253.27671813964844
970524.4375	443.2408752441406
996237.75	416.3916320800781
1018484.5	424.12310791015625
1060775.625	459.0184020996094
1193308.875	516.552490234375
1350109.375	468.99395751953125
1523749.25	639.896240234375
1586103.125	656.550537109375
1581437.0	664.8302612304688
1588374.0	667.0662231445312
1642988.625	708.1038818359375
1779557.5	615.8446044921875
1857318.25	718.172119140625
1899496.75	748.1914672851562
1778676.25	691.2611083984375
1649617.25	650.3248291015625
1653159.125	328.7314758300781
1682003.125	634.8629760742188
1753279.25	660.6239013671875
1836768.625	742.739501953125
1900694.375	786.1035766601562
1933739.75	792.6508178710938
1928351.75	546.0379028320312
1949261.0	710.593017578125
2052639.5	713.9193115234375
2092592.375	772.7620849609375
2146056.25	827.9327392578125
2171447.25	821.8203735351562
2198179.75	812.6183471679688
2159382.75	694.4225463867188
2017384.375	677.0625610351562
2013446.25	670.1919555664062
2132277.5	753.2485961914062
2247254.25	529.2694091796875
2426994.25	935.630126953125
2567974.25	886.2880249023438
2536032.75	934.2381591796875
2623015.75	1000.3665161132812
2733896.0	1055.4351806640625
2881699.75	900.3543090820312
3082007.5	1069.34716796875
3173916.25	1066.6278076171875
3196332.25	1134.3463134765625
3270280.75	1162.2120361328125
3405281.0	583.3960571289062
3733453.0	1425.4169921875
3959297.75	1297.405517578125
4098248.5	1446.1265869140625
4020308.0	1485.598388671875
4201833.5	1590.76416015625
4246973.0	1178.873291015625
4490661.0	1602.6651611328125
4647016.0	1519.652099609375
4510248.0	1561.940673828125
4705739.0	1691.7769775390625
4960621.5	1809.609619140625
4936253.0	1370.2994384765625
4877641.0	1469.662841796875
4596073.0	1326.464599609375
4543199.0	1361.7509765625
4705926.0	1462.7105712890625
5018251.5	1435.927001953125
5444705.0	1905.322509765625
5597902.5	1711.18994140625
5492005.0	1681.5135498046875
5292934.0	1697.5465087890625
5482250.0	1795.4471435546875
5748646.0	1614.0120849609375
6259880.0	1940.9921875
6432570.0	1862.813720703125
6487618.0	1911.6749267578125
6464130.0	1980.60595703125
6615513.5	2016.796875
6592169.5	1782.0172119140625
6624032.0	1841.8553466796875
6674650.5	1763.541748046875
6576671.5	1734.913818359375
6539007.0	1742.5977783203125
6843134.5	2764.1474609375
7337627.0	2175.201416015625
7595122.0	2097.572998046875
